Area,Year,Variable,Variable Value
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Domain,Annual population
Nigeria,1995-01-01,Domain,Annual population
United States of America,1995-01-01,Domain,Annual population
India,1995-01-01,Domain,Annual population
Portugal,1996-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Domain,Annual population
Nigeria,1996-01-01,Domain,Annual population
United States of America,1996-01-01,Domain,Annual population
India,1996-01-01,Domain,Annual population
Portugal,1997-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Domain,Annual population
Nigeria,1997-01-01,Domain,Annual population
United States of America,1997-01-01,Domain,Annual population
India,1997-01-01,Domain,Annual population
Portugal,1998-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Domain,Annual population
Nigeria,1998-01-01,Domain,Annual population
United States of America,1998-01-01,Domain,Annual population
India,1998-01-01,Domain,Annual population
Portugal,1999-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Domain,Annual population
Nigeria,1999-01-01,Domain,Annual population
United States of America,1999-01-01,Domain,Annual population
India,1999-01-01,Domain,Annual population
Portugal,2000-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Domain,Annual population
Nigeria,2000-01-01,Domain,Annual population
United States of America,2000-01-01,Domain,Annual population
India,2000-01-01,Domain,Annual population
Portugal,2001-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Domain,Annual population
Nigeria,2001-01-01,Domain,Annual population
United States of America,2001-01-01,Domain,Annual population
India,2001-01-01,Domain,Annual population
Portugal,2002-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Domain,Annual population
Nigeria,2002-01-01,Domain,Annual population
United States of America,2002-01-01,Domain,Annual population
India,2002-01-01,Domain,Annual population
Portugal,2003-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Domain,Annual population
Nigeria,2003-01-01,Domain,Annual population
United States of America,2003-01-01,Domain,Annual population
India,2003-01-01,Domain,Annual population
Portugal,2004-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Domain,Annual population
Nigeria,2004-01-01,Domain,Annual population
United States of America,2004-01-01,Domain,Annual population
India,2004-01-01,Domain,Annual population
Portugal,2005-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Domain,Annual population
Nigeria,2005-01-01,Domain,Annual population
United States of America,2005-01-01,Domain,Annual population
India,2005-01-01,Domain,Annual population
Portugal,2006-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Domain,Annual population
Nigeria,2006-01-01,Domain,Annual population
United States of America,2006-01-01,Domain,Annual population
India,2006-01-01,Domain,Annual population
Portugal,2007-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Domain,Annual population
Nigeria,2007-01-01,Domain,Annual population
United States of America,2007-01-01,Domain,Annual population
India,2007-01-01,Domain,Annual population
Portugal,2008-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Domain,Annual population
Nigeria,2008-01-01,Domain,Annual population
United States of America,2008-01-01,Domain,Annual population
India,2008-01-01,Domain,Annual population
Portugal,2009-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Domain,Annual population
Nigeria,2009-01-01,Domain,Annual population
United States of America,2009-01-01,Domain,Annual population
India,2009-01-01,Domain,Annual population
Portugal,2010-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Domain,Annual population
Nigeria,2010-01-01,Domain,Annual population
United States of America,2010-01-01,Domain,Annual population
India,2010-01-01,Domain,Annual population
Portugal,2011-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Domain,Annual population
Nigeria,2011-01-01,Domain,Annual population
United States of America,2011-01-01,Domain,Annual population
India,2011-01-01,Domain,Annual population
Portugal,2012-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Domain,Annual population
Nigeria,2012-01-01,Domain,Annual population
United States of America,2012-01-01,Domain,Annual population
India,2012-01-01,Domain,Annual population
Portugal,2013-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Domain,Annual population
Nigeria,2013-01-01,Domain,Annual population
United States of America,2013-01-01,Domain,Annual population
India,2013-01-01,Domain,Annual population
Portugal,2014-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Domain,Annual population
Nigeria,2014-01-01,Domain,Annual population
United States of America,2014-01-01,Domain,Annual population
India,2014-01-01,Domain,Annual population
Portugal,2015-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Domain,Annual population
Nigeria,2015-01-01,Domain,Annual population
United States of America,2015-01-01,Domain,Annual population
India,2015-01-01,Domain,Annual population
Portugal,2016-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Domain,Annual population
Nigeria,2016-01-01,Domain,Annual population
United States of America,2016-01-01,Domain,Annual population
India,2016-01-01,Domain,Annual population
Portugal,2017-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Domain,Annual population
Nigeria,2017-01-01,Domain,Annual population
United States of America,2017-01-01,Domain,Annual population
India,2017-01-01,Domain,Annual population
Portugal,2018-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Domain,Annual population
Nigeria,2018-01-01,Domain,Annual population
United States of America,2018-01-01,Domain,Annual population
India,2018-01-01,Domain,Annual population
Portugal,2019-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Domain,Annual population
Nigeria,2019-01-01,Domain,Annual population
United States of America,2019-01-01,Domain,Annual population
India,2019-01-01,Domain,Annual population
Portugal,2020-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Domain,Annual population
Nigeria,2020-01-01,Domain,Annual population
United States of America,2020-01-01,Domain,Annual population
India,2020-01-01,Domain,Annual population
Portugal,2021-01-01,Domain,Annual population
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Domain,Annual population
Nigeria,2021-01-01,Domain,Annual population
United States of America,2021-01-01,Domain,Annual population
India,2021-01-01,Domain,Annual population
Portugal,1950-01-01,Area Code (M49),620
Nigeria,1950-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Area Code (M49),826
United States of America,1950-01-01,Area Code (M49),840
India,1950-01-01,Area Code (M49),356
Portugal,1951-01-01,Area Code (M49),620
Nigeria,1951-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Area Code (M49),826
United States of America,1951-01-01,Area Code (M49),840
India,1951-01-01,Area Code (M49),356
Portugal,1952-01-01,Area Code (M49),620
Nigeria,1952-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Area Code (M49),826
United States of America,1952-01-01,Area Code (M49),840
India,1952-01-01,Area Code (M49),356
Portugal,1953-01-01,Area Code (M49),620
Nigeria,1953-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Area Code (M49),826
United States of America,1953-01-01,Area Code (M49),840
India,1953-01-01,Area Code (M49),356
Portugal,1954-01-01,Area Code (M49),620
Nigeria,1954-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Area Code (M49),826
United States of America,1954-01-01,Area Code (M49),840
India,1954-01-01,Area Code (M49),356
Portugal,1955-01-01,Area Code (M49),620
Nigeria,1955-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Area Code (M49),826
United States of America,1955-01-01,Area Code (M49),840
India,1955-01-01,Area Code (M49),356
Portugal,1956-01-01,Area Code (M49),620
Nigeria,1956-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Area Code (M49),826
United States of America,1956-01-01,Area Code (M49),840
India,1956-01-01,Area Code (M49),356
Portugal,1957-01-01,Area Code (M49),620
Nigeria,1957-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Area Code (M49),826
United States of America,1957-01-01,Area Code (M49),840
India,1957-01-01,Area Code (M49),356
Portugal,1958-01-01,Area Code (M49),620
Nigeria,1958-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Area Code (M49),826
United States of America,1958-01-01,Area Code (M49),840
India,1958-01-01,Area Code (M49),356
Portugal,1959-01-01,Area Code (M49),620
Nigeria,1959-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Area Code (M49),826
United States of America,1959-01-01,Area Code (M49),840
India,1959-01-01,Area Code (M49),356
Portugal,1960-01-01,Area Code (M49),620
Nigeria,1960-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Area Code (M49),826
United States of America,1960-01-01,Area Code (M49),840
India,1960-01-01,Area Code (M49),356
Portugal,1961-01-01,Area Code (M49),620
Nigeria,1961-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Area Code (M49),826
United States of America,1961-01-01,Area Code (M49),840
India,1961-01-01,Area Code (M49),356
Portugal,1962-01-01,Area Code (M49),620
Nigeria,1962-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Area Code (M49),826
United States of America,1962-01-01,Area Code (M49),840
India,1962-01-01,Area Code (M49),356
Portugal,1963-01-01,Area Code (M49),620
Nigeria,1963-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Area Code (M49),826
United States of America,1963-01-01,Area Code (M49),840
India,1963-01-01,Area Code (M49),356
Portugal,1964-01-01,Area Code (M49),620
Nigeria,1964-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Area Code (M49),826
United States of America,1964-01-01,Area Code (M49),840
India,1964-01-01,Area Code (M49),356
Portugal,1965-01-01,Area Code (M49),620
Nigeria,1965-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Area Code (M49),826
United States of America,1965-01-01,Area Code (M49),840
India,1965-01-01,Area Code (M49),356
Portugal,1966-01-01,Area Code (M49),620
Nigeria,1966-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Area Code (M49),826
United States of America,1966-01-01,Area Code (M49),840
India,1966-01-01,Area Code (M49),356
Portugal,1967-01-01,Area Code (M49),620
Nigeria,1967-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Area Code (M49),826
United States of America,1967-01-01,Area Code (M49),840
India,1967-01-01,Area Code (M49),356
Portugal,1968-01-01,Area Code (M49),620
Nigeria,1968-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Area Code (M49),826
United States of America,1968-01-01,Area Code (M49),840
India,1968-01-01,Area Code (M49),356
Portugal,1969-01-01,Area Code (M49),620
Nigeria,1969-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Area Code (M49),826
United States of America,1969-01-01,Area Code (M49),840
India,1969-01-01,Area Code (M49),356
Portugal,1970-01-01,Area Code (M49),620
Nigeria,1970-01-01,Area Code (M49),566
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Area Code (M49),826
United States of America,1970-01-01,Area Code (M49),840
India,1970-01-01,Area Code (M49),356
Portugal,1971-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Area Code (M49),826
Nigeria,1971-01-01,Area Code (M49),566
United States of America,1971-01-01,Area Code (M49),840
India,1971-01-01,Area Code (M49),356
Portugal,1972-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Area Code (M49),826
Nigeria,1972-01-01,Area Code (M49),566
United States of America,1972-01-01,Area Code (M49),840
India,1972-01-01,Area Code (M49),356
Portugal,1973-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Area Code (M49),826
Nigeria,1973-01-01,Area Code (M49),566
United States of America,1973-01-01,Area Code (M49),840
India,1973-01-01,Area Code (M49),356
Portugal,1974-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Area Code (M49),826
Nigeria,1974-01-01,Area Code (M49),566
United States of America,1974-01-01,Area Code (M49),840
India,1974-01-01,Area Code (M49),356
Portugal,1975-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Area Code (M49),826
Nigeria,1975-01-01,Area Code (M49),566
United States of America,1975-01-01,Area Code (M49),840
India,1975-01-01,Area Code (M49),356
Portugal,1976-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Area Code (M49),826
Nigeria,1976-01-01,Area Code (M49),566
United States of America,1976-01-01,Area Code (M49),840
India,1976-01-01,Area Code (M49),356
Portugal,1977-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Area Code (M49),826
Nigeria,1977-01-01,Area Code (M49),566
United States of America,1977-01-01,Area Code (M49),840
India,1977-01-01,Area Code (M49),356
Portugal,1978-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Area Code (M49),826
Nigeria,1978-01-01,Area Code (M49),566
United States of America,1978-01-01,Area Code (M49),840
India,1978-01-01,Area Code (M49),356
Portugal,1979-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Area Code (M49),826
Nigeria,1979-01-01,Area Code (M49),566
United States of America,1979-01-01,Area Code (M49),840
India,1979-01-01,Area Code (M49),356
Portugal,1980-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Area Code (M49),826
Nigeria,1980-01-01,Area Code (M49),566
United States of America,1980-01-01,Area Code (M49),840
India,1980-01-01,Area Code (M49),356
Portugal,1981-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Area Code (M49),826
Nigeria,1981-01-01,Area Code (M49),566
United States of America,1981-01-01,Area Code (M49),840
